,place_id,business_name,formatted_address,overall_rating,text,user_rating
0,ChIJpbfBMopZwokRxQO9o47tUI0,The Farm SoHo - Coworking Office Space NYC,"447 Broadway 2nd floor, New York, NY 10013, USA",4.4,"Super lovely little place, with lots of space. The receptionist is so friendly and helpful. Highly recommend.",5
1,ChIJpbfBMopZwokRxQO9o47tUI0,The Farm SoHo - Coworking Office Space NYC,"447 Broadway 2nd floor, New York, NY 10013, USA",4.4,"I love The Farm. The price point cannot be beat, the vibe is amazing - low key, charming, members are friendly and interesting, and the staff is awesome - you'll get help instantly if you ever have an issue (like with printing). I'm so grateful that I found this place. I've been a member for 2.5 years! Oh, and they are super dog friendly!",5
2,ChIJpbfBMopZwokRxQO9o47tUI0,The Farm SoHo - Coworking Office Space NYC,"447 Broadway 2nd floor, New York, NY 10013, USA",4.4,Me and my twin sister bartended and events and it was a really nice spot great jazz music and food amazing people,5
3,ChIJpbfBMopZwokRxQO9o47tUI0,The Farm SoHo - Coworking Office Space NYC,"447 Broadway 2nd floor, New York, NY 10013, USA",4.4,Great space and staff. I love hosting events there!,5
4,ChIJpbfBMopZwokRxQO9o47tUI0,The Farm SoHo - Coworking Office Space NYC,"447 Broadway 2nd floor, New York, NY 10013, USA",4.4,Happy to be part of the community. If you are looking for good and affordable sharing space for your business I will recommend The Farm SoHo.,5
5,ChIJj9Jaiv9YwokR7zdgiIesAhE,Ensemble Coworking Space,"32 W 39th St Floor 4, New York, NY 10018, USA",4.3,Got my first internship at this space! Very nice atmosphere and it is entertaining to work closely with so many people from different backgrounds. The location is comfortable for me since it is not far away from pen station. Love this space!,5
6,ChIJj9Jaiv9YwokR7zdgiIesAhE,Ensemble Coworking Space,"32 W 39th St Floor 4, New York, NY 10018, USA",4.3,"Uncomfortable seets, can hear others calls inphone booth, large conf room was really an echo chamber",1
7,ChIJj9Jaiv9YwokR7zdgiIesAhE,Ensemble Coworking Space,"32 W 39th St Floor 4, New York, NY 10018, USA",4.3,"I love working in this space! The midtown location is so convenient for running in and out to meetings around the city. Its also a great space for me to bring clients.

The atmosphere is really laid back, not corporate at all, and I am very productive here. In a few months I've gotten several referrals and new work through networking with other entrepreneurs in the space. Great energy and very cool occupants. ",5
8,ChIJj9Jaiv9YwokR7zdgiIesAhE,Ensemble Coworking Space,"32 W 39th St Floor 4, New York, NY 10018, USA",4.3,Great co-working space in Manhattan. Very flexible both in terms of the space they give you and the amount of time you can rent out a desk. It's also very reasonably priced given the location and quality.,5
9,ChIJj9Jaiv9YwokR7zdgiIesAhE,Ensemble Coworking Space,"32 W 39th St Floor 4, New York, NY 10018, USA",4.3,"I LOVE LOVE the co-working space here at Ensemble. Everyone is super diligent and friendly. They have private rooms available that are perfect for holding meetings and/or conferences. A great atmosphere for the self employed and creative professionals. 

",5
10,ChIJW2LkKIpZwokR0IG5UC9pEpg,Kin Coworking Space NYC : Affordable shared office Space NYC & Soho,"442 Broadway 2nd floor, New York, NY 10013, USA",4.5,Super beautiful little place with plenty of room. So friendly and useful is the receptionist. Highly suggest.,5
11,ChIJW2LkKIpZwokR0IG5UC9pEpg,Kin Coworking Space NYC : Affordable shared office Space NYC & Soho,"442 Broadway 2nd floor, New York, NY 10013, USA",4.5,"Super nice Kin Space, with plenty of coworking space in New York. So friendly and helpful is the receptionist. Highly recommended.",4
